Soil_Type,Temperature_C,Rainfall_mm,Humidity_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,pH,Crop_History,Recommended_Crop
Loamy,17.6,60.8,51.0,76.3,37.0,20.7,6.63,Potato,Mustard
Loamy,16.6,122.0,56.3,107.5,62.3,43.4,6.73,Lentil,Maize
Loamy,32.0,145.0,79.2,22.7,41.2,37.3,7.35,Maize,Soybean
Silty,27.8,25.5,53.4,42.7,43.5,22.3,6.54,Mango,Lentil
Clay,31.6,143.3,88.3,120.9,56.6,80.8,6.0,Groundnut,Sugarcane
Loamy,25.8,86.0,54.1,38.3,43.7,33.4,6.54,Rice,Soybean
Sandy Loam,28.0,64.1,42.0,28.8,35.0,40.8,6.86,Sugarcane,Lentil
Loamy,19.4,50.3,57.3,55.6,41.4,31.9,6.98,Maize,Mustard
Sandy Loam,23.9,29.8,37.9,56.6,39.6,29.1,6.89,Cotton,Mustard
Loamy,25.7,188.1,81.9,116.2,49.3,41.9,6.23,Mustard,Sugarcane
Silty,13.1,110.3,76.9,99.6,79.8,55.1,5.55,Lentil,Potato
Loamy,13.3,53.4,43.6,46.6,47.9,26.3,6.76,Sugarcane,Mustard
Laterite,30.45,143.1,58.0,78.9,31.0,56.6,6.34,Rice,Mango
Loamy,23.2,70.7,80.3,56.2,57.7,41.4,6.63,Tomato,Soybean
Clay,31.3,204.2,93.4,119.5,27.0,31.8,5.89,Mustard,Rice
Clay,34.0,106.1,59.4,68.2,27.1,39.5,7.57,Tomato,Cotton
Clay,23.6,113.1,55.7,111.9,51.8,41.7,6.89,Cotton,Wheat
Loamy,23.7,166.2,68.8,66.7,31.1,51.2,6.64,Wheat,Mango
Sandy Loam,19.05,95.5,83.3,97.3,77.9,55.9,6.41,Mango,Potato
Clay,32.4,179.4,75.2,120.8,39.7,51.7,6.74,Potato,Rice
Loamy,11.6,112.3,51.5,106.6,58.0,33.3,6.85,Cotton,Wheat
Clay,23.9,81.9,45.4,93.1,48.4,27.4,6.84,Tomato,Wheat
Loamy,23.8,72.8,57.5,77.5,82.7,67.2,6.46,Potato,Tomato
Laterite,33.0,114.9,78.7,61.7,35.5,57.0,6.49,Wheat,Mango
Loamy,27.7,152.6,67.1,60.1,31.8,58.3,5.81,Cotton,Mango
Loamy,14.6,70.4,31.4,60.1,30.6,20.4,6.67,Sugarcane,Mustard
Silty,25.0,50.1,41.0,19.6,46.1,16.1,6.52,Groundnut,Lentil
Clay,37.9,67.9,61.0,85.6,24.1,37.4,6.6,Wheat,Cotton
Sandy Loam,18.8,70.5,41.2,39.2,42.2,32.8,6.32,Groundnut,Mustard
Loamy,25.3,140.6,84.2,105.9,41.5,42.6,7.37,Wheat,Maize
Sandy Loam,24.9,122.8,65.2,143.9,74.2,46.4,7.2,Tomato,Wheat
Sandy Loam,21.4,69.0,33.9,60.4,27.6,31.8,5.99,Maize,Mustard
Clay,24.0,185.0,88.1,71.5,53.5,36.2,6.09,Tomato,Rice
Silty,20.5,99.7,52.3,85.15,61.9,67.4,6.3,Soybean,Tomato
Loamy,29.7,220.4,85.1,99.3,56.95,40.1,5.91,Groundnut,Sugarcane
Clay,31.3,267.0,72.2,105.6,52.6,71.2,7.69,Mustard,Sugarcane
Silty,24.2,43.8,54.1,71.5,82.9,58.4,6.25,Wheat,Tomato
Sandy Loam,35.4,125.0,71.2,86.6,46.4,44.1,6.97,Rice,Mango
Loamy,22.2,25.5,42.2,73.8,26.5,21.9,5.92,Rice,Mustard
Loamy,19.1,71.1,62.1,34.2,41.0,32.2,6.11,Cotton,Lentil
Black,27.4,89.0,49.6,72.6,35.3,16.0,7.32,Sugarcane,Cotton
Clay,9.9,52.8,31.9,53.9,44.8,31.2,6.83,Cotton,Mustard
Loamy,26.4,45.3,41.2,32.2,46.4,37.9,7.39,Soybean,Lentil
Loamy,9.6,81.7,55.5,129.5,50.6,40.0,5.97,Mustard,Wheat
Sandy Loam,24.2,66.4,77.4,111.7,65.4,42.7,6.82,Sugarcane,Tomato
Clay,23.7,144.8,63.5,19.5,32.6,35.6,6.08,Lentil,Soybean
Loamy,26.3,116.0,63.7,49.4,39.9,65.8,7.22,Tomato,Mango
Sandy Loam,24.2,95.3,58.2,110.8,75.9,43.3,6.47,Mustard,Wheat
Loamy,10.4,55.2,49.4,58.8,51.2,33.7,7.2,Mango,Mustard
Sandy Loam,25.3,156.2,53.8,127.1,43.6,32.4,6.54,Soybean,Maize
Clay,13.2,60.4,49.1,103.1,61.4,44.2,6.78,Potato,Wheat
Sandy Loam,27.1,117.6,69.3,80.9,65.0,53.2,7.53,Tomato,Maize
Loamy,15.9,129.8,70.9,85.3,68.1,46.4,5.0,Maize,Potato
Loamy,35.1,196.5,63.7,55.3,34.1,56.3,6.03,Tomato,Mango
Silty,19.2,64.6,70.5,52.4,85.8,61.5,5.85,Soybean,Potato
Clay,23.6,131.3,67.7,43.0,43.0,41.7,7.35,Cotton,Soybean
Black,26.5,93.1,55.0,84.1,22.4,42.1,6.11,Potato,Cotton
Clay,33.0,283.2,88.5,102.6,68.6,59.2,5.95,Cotton,Rice
Clay,13.8,82.5,30.1,78.6,35.7,38.8,7.47,Soybean,Wheat
Silty,23.2,172.6,92.4,128.1,68.8,46.1,5.24,Sugarcane,Rice
Silty,30.5,140.0,72.3,101.0,54.2,42.1,6.03,Soybean,Maize
Loamy,36.6,185.2,52.3,54.7,31.2,46.3,5.79,Mustard,Mango
Loamy,34.6,63.8,56.5,84.7,44.5,25.8,7.83,Lentil,Cotton
Loamy,23.0,41.5,49.9,62.5,30.7,24.3,6.25,Maize,Mustard
Clay,14.1,54.3,36.4,98.3,62.5,35.8,6.58,Potato,Wheat
Sandy Loam,32.0,93.4,68.0,40.1,59.8,44.0,6.54,Mango,Soybean
Clay,34.1,60.3,57.7,42.7,34.8,35.1,7.47,Groundnut,Cotton
Sandy Loam,19.8,60.1,72.3,91.2,64.4,62.2,5.19,Rice,Potato
Clay,32.7,73.2,44.4,63.7,43.1,25.6,7.19,Mustard,Cotton
Loamy,32.5,51.1,70.7,27.9,63.2,29.0,6.38,Soybean,Groundnut
Silty,32.4,255.1,74.6,109.7,60.8,49.1,6.94,Maize,Rice
Loamy,20.7,37.1,42.8,20.2,48.6,12.8,7.38,Sugarcane,Lentil
Loamy,33.0,158.6,66.9,82.2,42.1,51.9,6.84,Potato,Sugarcane
Sandy Loam,29.6,76.5,65.7,83.8,40.4,31.2,6.27,Rice,Maize
Clay,19.1,113.2,60.1,136.7,72.4,32.8,6.24,Soybean,Wheat
Loamy,27.6,82.0,71.0,84.3,61.1,56.8,6.07,Groundnut,Tomato
Sandy Loam,20.9,97.4,81.8,45.2,57.2,30.9,7.45,Mango,Soybean
Loamy,27.9,113.6,69.2,119.9,54.8,34.2,6.02,Potato,Maize
Clay,23.7,125.5,39.1,67.7,44.1,23.1,7.28,Groundnut,Cotton
Clay,10.0,100.1,57.8,84.6,47.9,37.0,7.05,Soybean,Wheat
Clay,15.1,35.0,56.9,77.1,32.4,29.9,6.14,Sugarcane,Mustard
Clay,26.4,171.2,80.7,116.0,51.5,56.9,7.09,Maize,Sugarcane
Loamy,15.6,95.1,73.8,110.4,50.7,46.6,5.35,Maize,Potato
Sandy Loam,9.5,72.5,43.3,98.1,43.9,33.2,6.06,Potato,Wheat
Loamy,20.1,76.8,42.3,127.4,43.3,29.9,6.85,Maize,Wheat
Clay,21.7,70.3,56.5,117.8,55.8,31.5,6.27,Cotton,Wheat
Loamy,20.8,45.5,83.4,66.5,67.2,46.1,6.86,Cotton,Tomato
Sandy Loam,22.0,81.9,54.7,94.0,77.9,48.3,6.51,Groundnut,Tomato
Sandy Loam,13.1,86.25,40.6,108.45,48.6,49.6,7.21,Mustard,Wheat
Black,32.8,115.1,41.8,58.0,29.4,27.1,7.36,Lentil,Cotton
Loamy,26.7,103.8,72.4,29.6,34.4,32.7,6.35,Tomato,Soybean
Sandy Loam,22.4,84.9,58.5,98.8,54.2,44.9,5.79,Maize,Tomato
Loamy,12.7,46.5,38.5,63.8,32.2,25.3,7.06,Groundnut,Mustard
Loamy,28.4,65.6,32.0,26.7,53.0,34.3,7.51,Soybean,Lentil
Laterite,35.4,170.6,66.9,80.5,34.1,49.2,5.49,Potato,Mango
Silty,22.4,97.1,79.6,50.6,68.6,46.7,4.97,Sugarcane,Potato
Clay,31.5,146.1,76.0,76.7,61.1,61.6,7.36,Maize,Sugarcane
Laterite,37.5,188.3,73.7,48.1,25.3,39.0,7.26,Sugarcane,Mango
Black,37.3,120.8,60.5,81.5,21.9,20.8,6.99,Potato,Cotton
Red,22.9,91.8,67.3,22.2,49.5,50.5,6.16,Rice,Groundnut
Sandy Loam,24.0,87.4,41.6,15.9,21.4,26.4,6.72,Potato,Lentil
Loamy,13.1,44.5,75.9,78.9,70.5,46.3,5.62,Tomato,Potato
Loamy,19.2,59.3,54.2,109.1,48.75,34.4,6.74,Groundnut,Maize
Sandy Loam,30.0,112.8,68.4,63.4,50.5,39.2,6.78,Sugarcane,Soybean
Loamy,21.7,139.6,60.1,123.3,67.0,64.6,5.8,Groundnut,Sugarcane
Loamy,31.4,109.5,54.0,20.3,54.7,26.5,6.0,Tomato,Groundnut
Loamy,33.3,286.3,75.6,105.5,38.5,53.6,6.97,Cotton,Rice
Clay,28.3,98.5,64.7,69.0,27.4,40.9,7.23,Groundnut,Cotton
Loamy,31.7,72.3,61.4,31.8,56.7,31.7,6.66,Tomato,Soybean
Silty,24.0,91.8,62.1,64.9,73.0,63.2,6.5,Tomato,Potato
Loamy,17.1,123.6,78.0,84.5,55.0,34.2,5.99,Tomato,Maize
Loamy,17.4,113.7,30.8,101.2,49.9,28.7,7.23,Maize,Wheat
Loamy,26.4,67.7,38.7,19.3,34.8,27.9,7.38,Potato,Lentil
Silty,25.7,162.8,73.9,117.1,50.3,35.3,6.25,Wheat,Maize
Clay,20.4,65.4,43.95,45.1,39.8,28.1,6.75,Soybean,Mustard
Loamy,30.7,66.9,81.3,28.8,54.8,20.6,6.33,Lentil,Soybean
Sandy Loam,30.6,163.8,69.7,67.9,28.1,49.2,5.63,Potato,Mango
Loamy,21.0,92.0,65.75,90.4,60.3,41.2,6.85,Mango,Tomato
Loamy,26.4,140.1,93.8,87.1,60.1,57.3,7.27,Cotton,Sugarcane
Red,25.5,106.0,59.8,45.5,33.8,28.2,6.42,Mustard,Groundnut
Loamy,29.5,120.1,59.7,130.8,43.2,52.9,7.17,Groundnut,Maize
Loamy,25.9,76.9,67.8,21.2,55.6,43.9,6.58,Soybean,Groundnut
Sandy Loam,23.7,98.4,61.3,21.2,30.7,14.8,7.02,Mustard,Lentil
Sandy Loam,26.0,55.2,52.0,77.0,47.1,25.7,6.85,Potato,Mustard
Black,27.3,141.1,56.1,76.0,32.9,31.7,6.71,Rice,Cotton
Clay,28.2,129.1,55.1,44.3,30.5,28.6,6.7,Potato,Soybean
Sandy Loam,17.9,41.6,55.9,19.2,47.5,15.4,6.91,Groundnut,Lentil
Sandy Loam,15.4,44.3,60.0,51.6,31.3,16.2,7.38,Maize,Lentil
Silty,28.3,151.7,81.6,114.2,51.7,35.9,7.42,Sugarcane,Maize
Clay,25.3,118.1,62.6,46.3,37.5,32.6,7.14,Wheat,Cotton
Sandy Loam,31.1,119.0,63.5,38.8,55.4,48.8,7.17,Groundnut,Soybean
Clay,37.3,226.5,85.4,96.0,63.9,70.9,5.68,Rice,Sugarcane
Sandy Loam,12.3,92.5,76.3,74.3,72.1,78.9,5.62,Rice,Potato
Loamy,25.3,97.8,57.6,99.5,47.5,30.3,6.51,Mango,Maize
Loamy,34.2,198.7,60.1,34.3,19.5,55.4,6.04,Rice,Mango
Loamy,26.5,91.4,68.2,23.3,53.2,31.6,6.57,Tomato,Groundnut
Clay,28.7,122.4,67.9,147.8,56.4,47.7,5.63,Maize,Sugarcane
Silty,37.6,206.1,75.0,92.5,71.6,75.0,7.32,Soybean,Sugarcane
Clay,37.7,156.9,64.0,93.2,46.1,78.5,6.16,Cotton,Sugarcane
Loamy,24.0,89.4,77.0,54.9,50.4,41.2,6.38,Mustard,Soybean
Sandy Loam,23.6,57.8,50.9,54.0,27.8,32.6,5.95,Wheat,Mustard
Loamy,23.4,64.4,67.1,41.6,32.5,45.3,6.31,Wheat,Groundnut
Sandy Loam,21.2,64.0,46.0,126.0,76.6,39.2,6.06,Cotton,Wheat
Clay,24.7,76.5,29.5,61.2,24.4,28.1,6.83,Lentil,Mustard
Clay,30.6,100.3,83.9,144.1,60.8,46.3,5.44,Mustard,Sugarcane
Clay,34.0,152.0,80.0,105.5,46.1,48.2,6.76,Lentil,Sugarcane
Silty,27.7,44.4,62.1,43.1,35.0,23.2,7.35,Soybean,Lentil
Silty,20.8,74.4,76.9,90.1,86.9,59.3,6.59,Lentil,Tomato
Clay,26.3,115.6,54.1,30.8,64.7,48.0,7.35,Wheat,Soybean
Clay,29.7,121.7,73.8,49.6,54.2,40.1,6.64,Potato,Soybean
Sandy Loam,22.4,176.0,77.5,109.2,62.5,28.9,7.02,Wheat,Maize
Sandy Loam,16.6,38.2,49.3,42.4,33.9,22.6,6.64,Mango,Lentil
Loamy,18.5,99.4,77.1,64.2,82.7,60.1,6.2,Groundnut,Potato
Sandy Loam,27.2,49.1,61.3,107.0,67.5,66.0,6.73,Mustard,Tomato
Black,30.6,74.6,48.7,48.8,29.3,21.8,6.28,Tomato,Cotton
Clay,23.1,78.8,58.3,76.9,68.8,20.1,7.08,Mango,Wheat
Loamy,27.4,90.0,64.2,98.6,61.5,53.2,6.38,Sugarcane,Tomato
Loamy,27.5,98.3,60.4,49.0,41.7,20.0,7.44,Soybean,Cotton
Clay,26.8,232.8,93.6,92.6,69.0,59.1,6.3,Tomato,Rice
Silty,12.9,111.7,61.3,84.0,83.8,55.9,5.47,Groundnut,Potato
Loamy,28.4,167.3,63.7,71.4,34.0,42.9,5.62,Sugarcane,Mango
Silty,23.6,223.7,81.4,60.4,41.4,28.0,6.86,Soybean,Rice
Sandy Loam,22.2,74.8,39.5,41.6,38.9,31.4,6.25,Mango,Mustard
Silty,35.5,179.5,86.1,78.7,70.2,55.3,6.09,Potato,Sugarcane
Sandy Loam,14.7,68.5,41.5,122.6,51.2,35.4,5.96,Soybean,Wheat
Sandy Loam,23.2,110.7,55.9,14.9,31.4,37.5,6.32,Cotton,Groundnut
Sandy Loam,20.1,41.5,44.1,25.1,21.4,25.3,6.99,Cotton,Lentil
Loamy,27.3,146.6,57.8,71.8,48.5,67.9,6.4,Rice,Mango
Loamy,28.2,54.7,52.7,44.5,36.6,37.9,7.48,Mustard,Lentil
Clay,11.4,78.1,68.0,81.9,59.5,43.8,6.46,Cotton,Wheat
Silty,19.6,43.9,35.3,40.8,29.7,40.5,7.35,Maize,Lentil
Sandy Loam,35.6,104.5,70.9,63.1,39.6,66.2,6.56,Wheat,Mango
Sandy Loam,20.3,86.2,64.1,53.7,63.2,55.9,5.13,Groundnut,Potato
Loamy,31.3,94.5,65.7,121.2,64.3,40.9,5.97,Mango,Maize
Loamy,21.6,34.1,45.9,50.2,48.7,15.3,7.45,Rice,Mustard
Loamy,32.1,232.8,91.6,115.4,68.7,39.7,6.07,Potato,Rice
Sandy Loam,25.9,80.9,32.3,42.2,46.1,17.9,6.68,Mango,Lentil
Clay,25.2,109.0,72.3,23.1,61.6,31.3,6.72,Maize,Soybean
Clay,22.0,69.4,35.7,59.0,34.9,21.6,6.34,Cotton,Mustard
Silty,20.1,41.5,61.6,76.6,82.0,58.3,5.62,Rice,Potato
Clay,20.2,209.2,77.2,113.7,47.8,50.7,6.19,Cotton,Rice
Loamy,11.7,86.25,44.8,78.1,84.0,36.3,7.38,Cotton,Wheat
Sandy Loam,16.7,88.3,72.3,81.4,67.7,57.6,5.03,Rice,Potato
Sandy Loam,21.1,68.3,38.2,130.1,62.3,22.6,7.56,Groundnut,Wheat
Loamy,20.7,109.5,79.9,69.1,86.9,48.5,6.14,Wheat,Potato
Clay,9.9,73.2,56.7,108.45,62.8,40.8,6.85,Sugarcane,Wheat
Sandy Loam,16.2,41.8,57.5,37.5,39.9,24.5,7.1,Wheat,Lentil
Sandy Loam,18.2,61.05,48.6,23.8,32.5,21.3,7.4,Cotton,Lentil
Loamy,27.1,221.4,69.6,95.0,51.5,37.5,5.22,Potato,Rice
Red,25.7,65.1,69.6,41.3,56.2,34.1,6.61,Sugarcane,Groundnut
Loamy,18.1,99.6,51.7,88.4,75.8,36.1,6.15,Lentil,Wheat
Loamy,28.4,86.0,52.2,75.9,50.2,14.7,6.19,Mustard,Cotton
Black,31.7,116.1,64.3,84.8,36.5,38.4,7.38,Mango,Cotton
Loamy,37.7,103.1,62.3,63.3,45.9,20.2,7.39,Mustard,Cotton
Sandy Loam,13.9,32.6,49.0,18.8,42.3,19.6,7.93,Sugarcane,Lentil
Loamy,24.3,76.7,80.3,138.4,51.5,34.1,6.73,Mustard,Maize
Loamy,19.4,40.9,57.7,41.8,41.0,31.2,7.29,Cotton,Mustard
Silty,21.6,115.7,65.7,84.6,46.6,32.9,6.63,Tomato,Maize
Loamy,31.5,129.3,53.9,98.0,44.7,46.9,6.63,Tomato,Maize
Clay,36.6,143.2,59.8,69.0,23.2,43.7,6.35,Rice,Cotton
Loamy,24.9,56.3,53.5,62.2,85.0,59.8,6.59,Potato,Tomato
Loamy,15.2,45.0,43.8,40.2,40.8,20.8,6.71,Wheat,Mustard
Clay,21.1,69.3,60.1,30.1,61.7,42.5,6.03,Wheat,Soybean
Loamy,27.3,74.1,61.4,16.7,55.1,30.5,6.87,Potato,Groundnut
Sandy Loam,27.4,52.4,75.3,78.7,65.7,61.2,6.31,Mango,Tomato
Clay,17.5,55.2,50.4,79.4,36.6,27.9,7.0,Cotton,Mustard
Silty,25.3,82.4,64.2,101.0,53.4,41.0,5.78,Rice,Maize
Black,39.2,112.9,41.5,51.7,45.8,14.2,6.82,Wheat,Cotton
Clay,26.3,164.6,66.1,71.2,50.4,53.6,6.94,Maize,Sugarcane
Loamy,18.3,88.5,39.1,28.8,57.5,26.5,8.03,Soybean,Lentil
Loamy,26.4,55.6,56.1,37.1,57.7,29.1,6.67,Mustard,Groundnut
Clay,11.6,77.1,31.1,50.5,37.0,33.5,7.41,Maize,Mustard
Clay,27.2,153.1,78.9,99.2,56.2,78.2,6.38,Tomato,Sugarcane
Sandy Loam,35.6,105.0,67.0,37.6,58.3,40.2,5.97,Rice,Groundnut
Red,23.5,88.7,58.9,34.6,39.1,34.1,5.88,Cotton,Groundnut
Loamy,24.6,43.2,52.9,68.9,57.2,59.8,6.33,Soybean,Tomato
Clay,12.6,43.9,31.2,66.7,46.4,28.7,5.94,Groundnut,Mustard
Clay,30.3,101.4,58.1,30.7,58.3,27.7,6.11,Maize,Soybean
Clay,18.6,42.2,34.3,55.3,47.3,25.7,6.93,Soybean,Mustard
Black,35.9,111.5,70.8,52.6,38.2,20.2,6.85,Rice,Cotton
Loamy,10.8,109.3,62.9,81.4,53.2,40.4,6.56,Mustard,Wheat
Clay,20.8,232.8,78.2,67.7,46.7,38.4,5.26,Sugarcane,Rice
Laterite,30.6,153.2,68.5,60.6,48.1,72.3,6.4,Potato,Mango
Loamy,21.9,34.3,57.5,42.6,37.7,31.3,6.97,Lentil,Mustard
Red,28.1,119.9,66.0,24.1,54.3,46.0,6.17,Rice,Groundnut
Sandy Loam,21.4,61.7,65.6,43.9,25.0,18.7,7.05,Wheat,Lentil
Loamy,30.5,122.7,58.0,39.4,28.3,31.1,7.08,Potato,Soybean
Clay,29.1,77.4,59.9,51.5,33.1,39.0,7.26,Lentil,Soybean
Loamy,21.0,99.4,78.6,41.8,36.2,31.7,7.11,Groundnut,Soybean
Loamy,21.8,101.0,85.7,38.0,46.8,34.4,6.7,Cotton,Soybean
Sandy Loam,20.8,46.4,32.4,69.7,40.6,20.0,6.18,Mango,Mustard
Clay,28.9,66.7,68.3,70.2,47.8,17.9,7.69,Groundnut,Cotton
Loamy,27.6,71.4,76.0,46.6,60.7,23.0,5.9,Wheat,Soybean
Silty,27.0,120.1,57.3,103.9,49.4,46.3,5.82,Rice,Maize
Sandy Loam,10.7,101.7,33.2,101.4,55.9,35.8,6.63,Mustard,Wheat
Clay,20.9,93.2,36.4,123.5,57.7,43.8,6.04,Mango,Wheat
Silty,25.1,74.4,61.5,80.4,85.2,51.3,6.71,Mustard,Tomato
Clay,16.7,67.1,34.8,123.9,41.4,32.5,7.32,Potato,Wheat
Loamy,23.6,55.2,27.8,71.3,30.3,22.0,6.49,Groundnut,Mustard
Sandy Loam,27.8,54.4,58.9,39.2,30.3,32.9,6.22,Potato,Lentil
Sandy Loam,10.6,39.7,37.8,75.9,49.4,34.7,6.98,Sugarcane,Mustard
Sandy Loam,21.6,79.3,61.6,50.4,48.2,72.2,4.81,Cotton,Potato
Clay,30.7,216.2,80.5,79.9,33.6,59.8,6.1,Wheat,Rice
Loamy,22.9,168.5,83.7,130.0,44.1,52.8,6.27,Wheat,Sugarcane
Loamy,26.3,111.8,61.1,20.1,29.8,35.6,6.03,Groundnut,Soybean
Sandy Loam,28.8,126.6,78.6,23.7,42.8,38.4,6.1,Potato,Soybean
Silty,29.9,120.1,73.0,105.0,38.1,46.2,6.34,Mustard,Maize
Loamy,21.1,92.7,59.6,17.2,43.1,38.8,6.81,Groundnut,Soybean
Loamy,21.9,48.0,38.7,71.8,46.3,18.8,6.22,Rice,Mustard
Silty,30.5,211.3,71.1,94.7,61.0,59.1,5.98,Tomato,Rice
Sandy Loam,36.8,185.1,63.9,40.7,17.0,44.7,6.81,Maize,Mango
Loamy,32.5,103.7,60.1,146.8,45.3,53.7,5.6,Rice,Sugarcane
Silty,28.6,50.4,29.5,40.3,37.7,23.4,7.115,Cotton,Lentil
Sandy Loam,28.7,179.9,73.3,54.9,50.1,36.1,6.94,Potato,Mango
Clay,24.1,79.9,63.8,56.4,48.9,51.5,6.39,Mustard,Soybean
Loamy,14.9,37.4,57.1,38.3,21.0,12.8,7.62,Cotton,Lentil
Sandy Loam,21.3,76.1,42.3,90.5,67.1,37.7,7.35,Potato,Wheat
Sandy Loam,14.9,91.3,57.8,50.4,28.9,27.7,6.49,Rice,Lentil
Sandy Loam,27.5,163.7,77.5,96.6,44.4,55.7,6.01,Cotton,Maize
Clay,25.8,79.4,42.3,92.9,59.5,32.4,6.0,Tomato,Wheat
Loamy,29.5,131.9,68.1,60.1,45.0,65.9,6.71,Rice,Mango
Clay,25.9,91.9,40.1,55.1,45.0,32.4,7.005,Mango,Cotton
Loamy,29.2,135.1,83.6,38.4,36.8,44.4,7.54,Rice,Soybean
Sandy Loam,20.4,87.6,75.2,29.8,53.3,22.4,6.54,Sugarcane,Soybean
Loamy,36.4,143.1,53.3,52.5,32.1,55.4,7.54,Tomato,Mango
Loamy,34.6,53.6,60.4,55.1,17.4,26.4,7.81,Rice,Cotton
Loamy,29.1,107.8,69.9,44.9,53.7,36.3,6.02,Lentil,Groundnut
Loamy,20.6,32.3,46.5,65.7,42.6,29.4,6.54,Soybean,Mustard
Sandy Loam,25.1,47.8,34.8,22.1,45.4,30.1,6.09,Rice,Lentil
Black,30.4,120.4,63.9,65.0,25.7,29.4,6.22,Groundnut,Cotton
Loamy,22.7,86.5,70.1,17.0,32.6,28.2,6.94,Groundnut,Soybean
Silty,31.3,115.6,70.0,90.5,75.4,58.5,6.48,Mango,Sugarcane
Loamy,38.2,133.0,60.9,69.8,33.0,41.8,7.005,Mustard,Cotton
Sandy Loam,20.1,52.1,65.0,79.7,60.0,41.3,6.38,Maize,Tomato
Loamy,21.4,69.2,44.0,111.5,79.6,46.9,7.43,Mustard,Wheat
Silty,26.5,147.6,60.8,76.7,59.3,31.0,6.6,Tomato,Maize
Clay,31.1,76.6,83.3,50.6,36.0,28.6,6.75,Potato,Soybean
Silty,27.5,184.1,94.8,65.8,37.8,61.2,5.03,Maize,Rice
Loamy,24.35,98.7,72.1,115.9,85.0,58.7,6.4,Wheat,Tomato
Loamy,28.6,102.2,46.5,82.9,51.7,24.4,7.29,Mustard,Cotton
Loamy,35.7,167.8,66.1,106.1,66.6,60.8,6.38,Potato,Sugarcane
Silty,18.6,92.4,64.5,21.5,46.5,34.4,7.15,Mango,Lentil
Sandy Loam,18.7,172.2,71.4,69.7,65.1,48.5,5.78,Sugarcane,Maize
Black,31.9,74.0,62.1,43.6,39.5,18.4,7.005,Rice,Cotton
