InvoiceDate,Sales,Quantity
2011-03-15,23493.49,9080
2011-03-16,21948.36,12947
2011-03-17,39904.94,21002
2011-03-18,28171.79,14052
2011-03-19,0.0,0
2011-03-20,22153.49,14195
2011-03-21,16715.52,10311
2011-03-22,31515.58,16664
2011-03-23,24091.67,14462
2011-03-24,36697.14,18569
2011-03-25,31394.21,14179
2011-03-26,0.0,0
2011-03-27,9241.35,4530
2011-03-28,23176.72,13526
2011-03-29,70711.92,32916
2011-03-30,31885.28,21132
2011-03-31,34335.9,16916
2011-04-01,25667.51,18564
2011-04-02,0.0,0
2011-04-03,6943.15,5679
2011-04-04,33254.24,14015
2011-04-05,30144.77,16056
2011-04-06,17362.36,9524
2011-04-07,18512.89,10545
2011-04-08,25295.64,13219
2011-04-09,0.0,0
2011-04-10,9913.98,5632
2011-04-11,22353.27,13640
2011-04-12,25570.3,15341
2011-04-13,24484.42,18769
2011-04-14,36104.07,18878
2011-04-15,28334.121,12729
2011-04-16,0.0,0
2011-04-17,12725.5,8183
2011-04-18,56026.18,31494
2011-04-19,24338.7,14482
2011-04-20,28670.47,18390
2011-04-21,32615.63,18394
2011-04-22,0.0,0
2011-04-23,0.0,0
2011-04-24,0.0,0
2011-04-25,0.0,0
2011-04-26,31047.43,16173
2011-04-27,25942.44,18627
2011-04-28,22501.55,13842
2011-04-29,0.0,0
2011-04-30,0.0,0
2011-05-01,6973.66,3819
2011-05-02,0.0,0
2011-05-03,35229.41,12606
2011-05-04,27544.15,17385
2011-05-05,29174.29,17483
2011-05-06,36126.35,20424
2011-05-07,0.0,0
2011-05-08,18867.4,10702
2011-05-09,27899.71,13359
2011-05-10,47819.98,19802
2011-05-11,33687.25,18913
2011-05-12,61903.09,37833
2011-05-13,30749.95,15247
2011-05-14,0.0,0
2011-05-15,9924.28,4898
2011-05-16,39651.28,16020
2011-05-17,55151.99,27143
2011-05-18,34483.44,19073
2011-05-19,35599.35,18347
2011-05-20,26718.17,15504
2011-05-21,0.0,0
2011-05-22,24231.09,12749
2011-05-23,34685.6,18231
2011-05-24,37660.04,15991
2011-05-25,24408.12,14638
2011-05-26,33497.03,16349
2011-05-27,28442.03,17022
2011-05-28,0.0,0
2011-05-29,7394.3,4124
2011-05-30,0.0,0
2011-05-31,22714.06,11763
2011-06-01,20595.69,10990
2011-06-02,32826.14,14657
2011-06-03,16913.25,7691
2011-06-04,0.0,0
2011-06-05,25639.54,13501
2011-06-06,17789.07,9462
2011-06-07,37957.72,18768
2011-06-08,43264.33,21284
2011-06-09,46389.1,32363
2011-06-10,62234.44,11043
2011-06-11,0.0,0
2011-06-12,12517.06,9491
2011-06-13,22457.21,11302
2011-06-14,40474.01,14624
2011-06-15,49097.99,30720
2011-06-16,34584.68,20315
2011-06-17,21076.17,11764
2011-06-18,0.0,0
2011-06-19,22442.18,15081
2011-06-20,37514.98,16734
2011-06-21,24784.37,14275
2011-06-22,21825.99,15840
2011-06-23,25242.82,14739
2011-06-24,19521.96,9985
2011-06-25,0.0,0
2011-06-26,7082.49,3786
2011-06-27,17015.76,9918
2011-06-28,35607.32,21934
2011-06-29,22088.32,12111
2011-06-30,44797.31,21959
2011-07-01,13675.06,7813
2011-07-02,0.0,0
2011-07-03,6032.39,3117
2011-07-04,44652.83,15736
2011-07-05,40758.43,22131
2011-07-06,26387.54,19323
2011-07-07,32445.71,19803
2011-07-08,27082.1,12738
2011-07-09,0.0,0
2011-07-10,5993.87,4255
2011-07-11,22605.02,15177
2011-07-12,26262.55,13981
2011-07-13,22641.94,16300
2011-07-14,33602.13,20881
2011-07-15,14836.43,7405
2011-07-16,0.0,0
2011-07-17,17194.56,11044
2011-07-18,38831.61,15305
2011-07-19,50182.83,29349
2011-07-20,33308.24,17737
2011-07-21,32818.54,20091
2011-07-22,20124.86,10302
2011-07-23,0.0,0
2011-07-24,27099.46,17670
2011-07-25,26887.15,16100
2011-07-26,21644.261,14056
2011-07-27,25602.93,14142
2011-07-28,56269.74,30584
2011-07-29,18790.4,11621
2011-07-30,0.0,0
2011-07-31,33490.61,20878
2011-08-01,21388.92,11722
2011-08-02,26580.6,15721
2011-08-03,28113.14,16623
2011-08-04,65502.21,41148
2011-08-05,21538.58,12818
2011-08-06,0.0,0
2011-08-07,7578.91,5186
2011-08-08,23377.65,13412
2011-08-09,27679.44,16261
2011-08-10,28792.34,14423
2011-08-11,72433.79,40299
2011-08-12,10107.23,12024
2011-08-13,0.0,0
2011-08-14,5718.57,3180
2011-08-15,17243.97,10201
2011-08-16,19239.66,11262
2011-08-17,53499.96,25715
2011-08-18,54106.93,34174
2011-08-19,17349.59,10672
2011-08-20,0.0,0
2011-08-21,14576.86,8169
2011-08-22,29651.46,15556
2011-08-23,25993.68,15181
2011-08-24,49035.36,29522
2011-08-25,23827.46,13487
2011-08-26,25626.44,18175
2011-08-27,0.0,0
2011-08-28,10805.03,6774
2011-08-29,0.0,0
2011-08-30,31866.31,10304
2011-08-31,25380.17,13007
2011-09-01,37370.15,27858
2011-09-02,42322.02,18956
2011-09-03,0.0,0
2011-09-04,17119.59,10963
2011-09-05,37157.14,23653
2011-09-06,28349.91,15090
2011-09-07,34413.53,16392
2011-09-08,27195.8,17468
2011-09-09,30075.62,17405
2011-09-10,0.0,0
2011-09-11,35511.67,21146
2011-09-12,29738.33,17663
2011-09-13,55117.05,36936
2011-09-14,23592.98,14334
2011-09-15,78218.95,29324
2011-09-16,27724.22,16009
2011-09-17,0.0,0
2011-09-18,15745.73,8994
2011-09-19,49269.88,29394
2011-09-20,109612.03,43733
2011-09-21,48560.68,22334
2011-09-22,59354.79,33225
2011-09-23,40601.75,21912
2011-09-24,0.0,0
2011-09-25,31372.661,19505
2011-09-26,29335.171,15353
2011-09-27,36322.95,21965
2011-09-28,43749.06,25559
2011-09-29,46401.45,27682
2011-09-30,44357.06,22563
2011-10-01,0.0,0
2011-10-02,11634.53,8385
2011-10-03,66376.82,26003
2011-10-04,48810.65,25806
2011-10-05,75593.63,46338
2011-10-06,62891.19,36847
2011-10-07,53790.7,31090
2011-10-08,0.0,0
2011-10-09,12524.4,7556
2011-10-10,48239.18,26212
2011-10-11,52572.94,28524
2011-10-12,32159.28,17915
2011-10-13,37446.18,19108
2011-10-14,36347.64,18268
2011-10-15,0.0,0
2011-10-16,22010.96,8770
2011-10-17,52062.2,31410
2011-10-18,45332.16,29588
2011-10-19,42573.36,19260
2011-10-20,61122.9,40919
2011-10-21,63226.64,24793
2011-10-22,0.0,0
2011-10-23,12339.16,7073
2011-10-24,48752.91,26527
2011-10-25,41314.64,27073
2011-10-26,38059.43,21343
2011-10-27,57291.72,33910
2011-10-28,40565.7,24162
2011-10-29,0.0,0
2011-10-30,34571.23,20068
2011-10-31,57369.15,21797
2011-11-01,29155.15,16913
2011-11-02,45888.34,28768
2011-11-03,63561.49,34618
2011-11-04,62977.36,35438
2011-11-05,0.0,0
2011-11-06,42946.34,23309
2011-11-07,85881.81,31395
2011-11-08,57700.24,26538
2011-11-09,66127.57,38269
2011-11-10,71008.26,39239
2011-11-11,55257.17,29063
2011-11-12,0.0,0
2011-11-13,34069.92,20840
2011-11-14,114419.89,47631
2011-11-15,60807.29,30912
2011-11-16,65958.17,33144
2011-11-17,61103.13,31993
2011-11-18,51275.39,24338
2011-11-19,0.0,0
2011-11-20,35058.57,19416
2011-11-21,49805.72,25814
2011-11-22,64089.82,36025
2011-11-23,80104.18,39420
2011-11-24,50978.63,26629
2011-11-25,50822.73,31775
2011-11-26,0.0,0
2011-11-27,20611.08,11173
2011-11-28,57165.19,29466
2011-11-29,72595.93,30940
2011-11-30,60126.96,28532
2011-12-01,52197.25,27051
2011-12-02,57664.07,28825
2011-12-03,0.0,0
2011-12-04,24621.43,12412
2011-12-05,88741.96,44664
2011-12-06,56713.21,30469
2011-12-07,75439.16,41980
2011-12-08,82495.0,35672
2011-12-09,200920.6,93979
